rank,feature,impurity_importance
1,lag_168h,0.7444902994677832
2,lag_1h,0.20660078962984066
3,lag_24h,0.03307810905924182
4,hour,0.004467309801147936
5,temperature_c,0.002272261457078847
6,taxi_zone_id,0.0019516339520303423
7,day_of_week,0.0018812431905064636
8,borough,0.0016222462651756522
9,month,0.0010129501194070288
10,weather_condition,0.0007201927706297525
11,complaints_lag_1h,0.0006562835814300372
12,complaints_lag_24h,0.0005907568658555183
13,rain_mm,0.0004491222928335276
14,is_weekend,0.00019691631703490817
15,snowfall_cm,9.88523000441734e-06
