rank,feature,mae_increase_mean,mae_increase_std
1,lag_1h,12.127860034257425,0.012145413794295592
2,lag_168h,4.14648897085175,0.009599204381509569
3,lag_24h,1.7936706150807336,0.008853072203046162
4,hour,0.4526603768529271,0.003806811282293215
5,day_of_week,0.10878819498079799,0.0012743665659978546
6,taxi_zone_id,0.07772017033391936,0.0020198659522505046
7,borough,0.049280281874799194,0.0006853970811066441
8,complaints_lag_1h,0.016805042961588395,0.00027527625897689367
9,complaints_lag_24h,0.014653385875958472,0.0002466377563166573
10,is_weekend,0.007293990077675616,0.00038312848379012173
11,temperature_c,0.0020542542661428818,0.0005172135529830308
12,snowfall_cm,6.289895564097019e-05,1.3165697727222998e-05
13,month,0.0,0.0
14,rain_mm,-0.0001632380326241171,0.00032317078416122484
15,weather_condition,-0.0038203154024791055,0.0005544438486755134
