taxi_zone_id,taxi_zone_name,borough,observations,actual_mean,predicted_mean,mae,rmse,r2,mape_positive_pct,smape_pct,mean_error_bias
1,Newark Airport,EWR,1464,0.8913934426229508,0.9726729595104823,0.8826582320943832,1.3190668654080235,0.15140035069730418,60.02159790294259,143.26668413303244,0.08127951688753136
2,Jamaica Bay,Queens,1464,0.007513661202185792,0.036063627335688304,0.04316879018997414,0.10737872599205898,-0.3067850357787949,97.16595103155386,199.92475058276733,0.02854996613350251
3,Allerton/Pelham Gardens,Bronx,1464,0.6086065573770492,0.687523410133906,0.6651740114544917,0.9043971450653538,0.11216160369509309,51.65776950022224,149.6834971123683,0.07891685275685681
4,Alphabet City,Manhattan,1464,21.32308743169399,21.516960789306065,5.599877277189577,8.572265146340587,0.7890378616729375,38.294039820305606,30.600225669550404,0.19387335761207827
5,Arden Heights,Staten Island,1464,0.00273224043715847,0.01148504795938583,0.014145343222398219,0.057792748572788946,-0.22578980673814764,98.68340331312677,199.98621456700465,0.00875280752222736
6,Arrochar/Fort Wadsworth,Staten Island,1464,0.13183060109289618,0.1713870294834944,0.23973424899599352,0.4015841473341943,-0.019616506142968504,77.06881055027776,192.0647283784585,0.03955642839059824
7,Astoria,Queens,1464,12.790983606557377,12.789427438159338,4.17212535368661,6.162284903574572,0.4544838062640377,41.38029133656147,34.12893514283656,-0.001556168398039792
8,Astoria Park,Queens,1464,0.07103825136612021,0.13199999273945215,0.18656608847671877,0.3046184068793485,-0.2507642610237295,88.8177546290504,197.34209262935087,0.06096174137333194
9,Auburndale,Queens,1464,0.23565573770491804,0.3383547425484612,0.40779783016079435,0.550204174347935,-0.08704979135774282,63.384258477301024,180.274143601234,0.10269900484354319
10,Baisley Park,Queens,1464,2.625,2.691451327862419,1.5729428925779456,2.1426133573914945,0.15386960586231868,68.04316673091621,79.33032682443785,0.06645132786241909
11,Bath Beach,Brooklyn,1464,0.4275956284153005,0.6155896296172817,0.6037550136064208,0.8041860174736898,-0.07063673916629498,50.34920532866723,160.1520715235226,0.18799400120198123
