column_name,data_type,nullable
address_type,string,True
agency,string,True
agency_name,string,True
bbl,string,True
borough,string,True
bridge_highway_direction,string,True
bridge_highway_name,string,True
bridge_highway_segment,string,True
city,string,True
closed_date,string,True
community_board,string,True
complaint_type,string,True
council_district,string,True
created_date,string,True
cross_street_1,string,True
cross_street_2,string,True
descriptor,string,True
descriptor_2,string,True
due_date,string,True
facility_type,string,True
incident_address,string,True
incident_zip,string,True
intersection_street_1,string,True
intersection_street_2,string,True
landmark,string,True
latitude,string,True
location,"struct<coordinates:array<double>,type:string>",True
location_type,string,True
longitude,string,True
open_data_channel_type,string,True
park_borough,string,True
park_facility_name,string,True
police_precinct,string,True
resolution_action_updated_date,string,True
resolution_description,string,True
road_ramp,string,True
status,string,True
street_name,string,True
taxi_company_borough,string,True
taxi_pick_up_location,string,True
unique_key,string,True
vehicle_type,string,True
x_coordinate_state_plane,string,True
y_coordinate_state_plane,string,True
