column_name,null_count,null_percent
VendorID,0,0.0
tpep_pickup_datetime,0,0.0
tpep_dropoff_datetime,0,0.0
passenger_count,11611894,23.832664
trip_distance,0,0.0
RatecodeID,11611894,23.832664
store_and_fwd_flag,11611894,23.832664
PULocationID,0,0.0
DOLocationID,0,0.0
payment_type,0,0.0
fare_amount,0,0.0
extra,0,0.0
mta_tax,0,0.0
tip_amount,0,0.0
tolls_amount,0,0.0
improvement_surcharge,0,0.0
total_amount,0,0.0
congestion_surcharge,11611894,23.832664
Airport_fee,11611894,23.832664
cbd_congestion_fee,0,0.0
