month,column_name,data_type,nullable
2025-01,VendorID,int32,True
2025-01,tpep_pickup_datetime,timestamp[us],True
2025-01,tpep_dropoff_datetime,timestamp[us],True
2025-01,passenger_count,int64,True
2025-01,trip_distance,double,True
2025-01,RatecodeID,int64,True
2025-01,store_and_fwd_flag,large_string,True
2025-01,PULocationID,int32,True
2025-01,DOLocationID,int32,True
2025-01,payment_type,int64,True
2025-01,fare_amount,double,True
2025-01,extra,double,True
2025-01,mta_tax,double,True
2025-01,tip_amount,double,True
2025-01,tolls_amount,double,True
2025-01,improvement_surcharge,double,True
2025-01,total_amount,double,True
2025-01,congestion_surcharge,double,True
2025-01,Airport_fee,double,True
2025-01,cbd_congestion_fee,double,True
2025-02,VendorID,int32,True
2025-02,tpep_pickup_datetime,timestamp[us],True
2025-02,tpep_dropoff_datetime,timestamp[us],True
2025-02,passenger_count,int64,True
2025-02,trip_distance,double,True
2025-02,RatecodeID,int64,True
2025-02,store_and_fwd_flag,large_string,True
2025-02,PULocationID,int32,True
2025-02,DOLocationID,int32,True
2025-02,payment_type,int64,True
2025-02,fare_amount,double,True
2025-02,extra,double,True
2025-02,mta_tax,double,True
2025-02,tip_amount,double,True
2025-02,tolls_amount,double,True
2025-02,improvement_surcharge,double,True
2025-02,total_amount,double,True
2025-02,congestion_surcharge,double,True
2025-02,Airport_fee,double,True
2025-02,cbd_congestion_fee,double,True
2025-03,VendorID,int32,True
2025-03,tpep_pickup_datetime,timestamp[us],True
2025-03,tpep_dropoff_datetime,timestamp[us],True
2025-03,passenger_count,int64,True
2025-03,trip_distance,double,True
2025-03,RatecodeID,int64,True
2025-03,store_and_fwd_flag,large_string,True
2025-03,PULocationID,int32,True
2025-03,DOLocationID,int32,True
2025-03,payment_type,int64,True
2025-03,fare_amount,double,True
2025-03,extra,double,True
2025-03,mta_tax,double,True
2025-03,tip_amount,double,True
2025-03,tolls_amount,double,True
2025-03,improvement_surcharge,double,True
2025-03,total_amount,double,True
2025-03,congestion_surcharge,double,True
2025-03,Airport_fee,double,True
2025-03,cbd_congestion_fee,double,True
2025-04,VendorID,int32,True
2025-04,tpep_pickup_datetime,timestamp[us],True
2025-04,tpep_dropoff_datetime,timestamp[us],True
2025-04,passenger_count,int64,True
2025-04,trip_distance,double,True
2025-04,RatecodeID,int64,True
2025-04,store_and_fwd_flag,large_string,True
2025-04,PULocationID,int32,True
2025-04,DOLocationID,int32,True
2025-04,payment_type,int64,True
2025-04,fare_amount,double,True
2025-04,extra,double,True
2025-04,mta_tax,double,True
2025-04,tip_amount,double,True
2025-04,tolls_amount,double,True
2025-04,improvement_surcharge,double,True
2025-04,total_amount,double,True
2025-04,congestion_surcharge,double,True
2025-04,Airport_fee,double,True
2025-04,cbd_congestion_fee,double,True
2025-05,VendorID,int32,True
2025-05,tpep_pickup_datetime,timestamp[us],True
2025-05,tpep_dropoff_datetime,timestamp[us],True
2025-05,passenger_count,int64,True
2025-05,trip_distance,double,True
2025-05,RatecodeID,int64,True
2025-05,store_and_fwd_flag,large_string,True
2025-05,PULocationID,int32,True
2025-05,DOLocationID,int32,True
2025-05,payment_type,int64,True
2025-05,fare_amount,double,True
2025-05,extra,double,True
2025-05,mta_tax,double,True
2025-05,tip_amount,double,True
2025-05,tolls_amount,double,True
2025-05,improvement_surcharge,double,True
2025-05,total_amount,double,True
2025-05,congestion_surcharge,double,True
2025-05,Airport_fee,double,True
2025-05,cbd_congestion_fee,double,True
2025-06,VendorID,int32,True
2025-06,tpep_pickup_datetime,timestamp[us],True
2025-06,tpep_dropoff_datetime,timestamp[us],True
2025-06,passenger_count,int64,True
2025-06,trip_distance,double,True
2025-06,RatecodeID,int64,True
2025-06,store_and_fwd_flag,large_string,True
2025-06,PULocationID,int32,True
2025-06,DOLocationID,int32,True
2025-06,payment_type,int64,True
2025-06,fare_amount,double,True
2025-06,extra,double,True
2025-06,mta_tax,double,True
2025-06,tip_amount,double,True
2025-06,tolls_amount,double,True
2025-06,improvement_surcharge,double,True
2025-06,total_amount,double,True
2025-06,congestion_surcharge,double,True
2025-06,Airport_fee,double,True
2025-06,cbd_congestion_fee,double,True
2025-07,VendorID,int32,True
2025-07,tpep_pickup_datetime,timestamp[us],True
2025-07,tpep_dropoff_datetime,timestamp[us],True
2025-07,passenger_count,int64,True
2025-07,trip_distance,double,True
2025-07,RatecodeID,int64,True
2025-07,store_and_fwd_flag,large_string,True
2025-07,PULocationID,int32,True
2025-07,DOLocationID,int32,True
2025-07,payment_type,int64,True
2025-07,fare_amount,double,True
2025-07,extra,double,True
2025-07,mta_tax,double,True
2025-07,tip_amount,double,True
2025-07,tolls_amount,double,True
2025-07,improvement_surcharge,double,True
2025-07,total_amount,double,True
2025-07,congestion_surcharge,double,True
2025-07,Airport_fee,double,True
2025-07,cbd_congestion_fee,double,True
2025-08,VendorID,int32,True
2025-08,tpep_pickup_datetime,timestamp[us],True
2025-08,tpep_dropoff_datetime,timestamp[us],True
2025-08,passenger_count,int64,True
2025-08,trip_distance,double,True
2025-08,RatecodeID,int64,True
2025-08,store_and_fwd_flag,large_string,True
2025-08,PULocationID,int32,True
2025-08,DOLocationID,int32,True
2025-08,payment_type,int64,True
2025-08,fare_amount,double,True
2025-08,extra,double,True
2025-08,mta_tax,double,True
2025-08,tip_amount,double,True
2025-08,tolls_amount,double,True
2025-08,improvement_surcharge,double,True
2025-08,total_amount,double,True
2025-08,congestion_surcharge,double,True
2025-08,Airport_fee,double,True
2025-08,cbd_congestion_fee,double,True
2025-09,VendorID,int32,True
2025-09,tpep_pickup_datetime,timestamp[us],True
2025-09,tpep_dropoff_datetime,timestamp[us],True
2025-09,passenger_count,int64,True
2025-09,trip_distance,double,True
2025-09,RatecodeID,int64,True
2025-09,store_and_fwd_flag,large_string,True
2025-09,PULocationID,int32,True
2025-09,DOLocationID,int32,True
2025-09,payment_type,int64,True
2025-09,fare_amount,double,True
2025-09,extra,double,True
2025-09,mta_tax,double,True
2025-09,tip_amount,double,True
2025-09,tolls_amount,double,True
2025-09,improvement_surcharge,double,True
2025-09,total_amount,double,True
2025-09,congestion_surcharge,double,True
2025-09,Airport_fee,double,True
2025-09,cbd_congestion_fee,double,True
2025-10,VendorID,int32,True
2025-10,tpep_pickup_datetime,timestamp[us],True
2025-10,tpep_dropoff_datetime,timestamp[us],True
2025-10,passenger_count,int64,True
2025-10,trip_distance,double,True
2025-10,RatecodeID,int64,True
2025-10,store_and_fwd_flag,large_string,True
2025-10,PULocationID,int32,True
2025-10,DOLocationID,int32,True
2025-10,payment_type,int64,True
2025-10,fare_amount,double,True
2025-10,extra,double,True
2025-10,mta_tax,double,True
2025-10,tip_amount,double,True
2025-10,tolls_amount,double,True
2025-10,improvement_surcharge,double,True
2025-10,total_amount,double,True
2025-10,congestion_surcharge,double,True
2025-10,Airport_fee,double,True
2025-10,cbd_congestion_fee,double,True
2025-11,VendorID,int32,True
2025-11,tpep_pickup_datetime,timestamp[us],True
2025-11,tpep_dropoff_datetime,timestamp[us],True
2025-11,passenger_count,int64,True
2025-11,trip_distance,double,True
2025-11,RatecodeID,int64,True
2025-11,store_and_fwd_flag,large_string,True
2025-11,PULocationID,int32,True
2025-11,DOLocationID,int32,True
2025-11,payment_type,int64,True
2025-11,fare_amount,double,True
2025-11,extra,double,True
2025-11,mta_tax,double,True
2025-11,tip_amount,double,True
2025-11,tolls_amount,double,True
2025-11,improvement_surcharge,double,True
2025-11,total_amount,double,True
2025-11,congestion_surcharge,double,True
2025-11,Airport_fee,double,True
2025-11,cbd_congestion_fee,double,True
2025-12,VendorID,int32,True
2025-12,tpep_pickup_datetime,timestamp[us],True
2025-12,tpep_dropoff_datetime,timestamp[us],True
2025-12,passenger_count,int64,True
2025-12,trip_distance,double,True
2025-12,RatecodeID,int64,True
2025-12,store_and_fwd_flag,large_string,True
2025-12,PULocationID,int32,True
2025-12,DOLocationID,int32,True
2025-12,payment_type,int64,True
2025-12,fare_amount,double,True
2025-12,extra,double,True
2025-12,mta_tax,double,True
2025-12,tip_amount,double,True
2025-12,tolls_amount,double,True
2025-12,improvement_surcharge,double,True
2025-12,total_amount,double,True
2025-12,congestion_surcharge,double,True
2025-12,Airport_fee,double,True
2025-12,cbd_congestion_fee,double,True
