month,matches_january_schema,schema_signature
2025-01,True,VendorID:int32 | tpep_pickup_datetime:timestamp[us] | tpep_dropoff_datetime:timestamp[us] | passenger_count:int64 | trip_distance:double | RatecodeID:int64 | store_and_fwd_flag:large_string | PULocationID:int32 | DOLocationID:int32 | payment_type:int64 | fare_amount:double | extra:double | mta_tax:double | tip_amount:double | tolls_amount:double | improvement_surcharge:double | total_amount:double | congestion_surcharge:double | Airport_fee:double | cbd_congestion_fee:double
2025-02,True,VendorID:int32 | tpep_pickup_datetime:timestamp[us] | tpep_dropoff_datetime:timestamp[us] | passenger_count:int64 | trip_distance:double | RatecodeID:int64 | store_and_fwd_flag:large_string | PULocationID:int32 | DOLocationID:int32 | payment_type:int64 | fare_amount:double | extra:double | mta_tax:double | tip_amount:double | tolls_amount:double | improvement_surcharge:double | total_amount:double | congestion_surcharge:double | Airport_fee:double | cbd_congestion_fee:double
2025-03,True,VendorID:int32 | tpep_pickup_datetime:timestamp[us] | tpep_dropoff_datetime:timestamp[us] | passenger_count:int64 | trip_distance:double | RatecodeID:int64 | store_and_fwd_flag:large_string | PULocationID:int32 | DOLocationID:int32 | payment_type:int64 | fare_amount:double | extra:double | mta_tax:double | tip_amount:double | tolls_amount:double | improvement_surcharge:double | total_amount:double | congestion_surcharge:double | Airport_fee:double | cbd_congestion_fee:double
2025-04,True,VendorID:int32 | tpep_pickup_datetime:timestamp[us] | tpep_dropoff_datetime:timestamp[us] | passenger_count:int64 | trip_distance:double | RatecodeID:int64 | store_and_fwd_flag:large_string | PULocationID:int32 | DOLocationID:int32 | payment_type:int64 | fare_amount:double | extra:double | mta_tax:double | tip_amount:double | tolls_amount:double | improvement_surcharge:double | total_amount:double | congestion_surcharge:double | Airport_fee:double | cbd_congestion_fee:double
2025-05,True,VendorID:int32 | tpep_pickup_datetime:timestamp[us] | tpep_dropoff_datetime:timestamp[us] | passenger_count:int64 | trip_distance:double | RatecodeID:int64 | store_and_fwd_flag:large_string | PULocationID:int32 | DOLocationID:int32 | payment_type:int64 | fare_amount:double | extra:double | mta_tax:double | tip_amount:double | tolls_amount:double | improvement_surcharge:double | total_amount:double | congestion_surcharge:double | Airport_fee:double | cbd_congestion_fee:double
2025-06,True,VendorID:int32 | tpep_pickup_datetime:timestamp[us] | tpep_dropoff_datetime:timestamp[us] | passenger_count:int64 | trip_distance:double | RatecodeID:int64 | store_and_fwd_flag:large_string | PULocationID:int32 | DOLocationID:int32 | payment_type:int64 | fare_amount:double | extra:double | mta_tax:double | tip_amount:double | tolls_amount:double | improvement_surcharge:double | total_amount:double | congestion_surcharge:double | Airport_fee:double | cbd_congestion_fee:double
2025-07,True,VendorID:int32 | tpep_pickup_datetime:timestamp[us] | tpep_dropoff_datetime:timestamp[us] | passenger_count:int64 | trip_distance:double | RatecodeID:int64 | store_and_fwd_flag:large_string | PULocationID:int32 | DOLocationID:int32 | payment_type:int64 | fare_amount:double | extra:double | mta_tax:double | tip_amount:double | tolls_amount:double | improvement_surcharge:double | total_amount:double | congestion_surcharge:double | Airport_fee:double | cbd_congestion_fee:double
2025-08,True,VendorID:int32 | tpep_pickup_datetime:timestamp[us] | tpep_dropoff_datetime:timestamp[us] | passenger_count:int64 | trip_distance:double | RatecodeID:int64 | store_and_fwd_flag:large_string | PULocationID:int32 | DOLocationID:int32 | payment_type:int64 | fare_amount:double | extra:double | mta_tax:double | tip_amount:double | tolls_amount:double | improvement_surcharge:double | total_amount:double | congestion_surcharge:double | Airport_fee:double | cbd_congestion_fee:double
2025-09,True,VendorID:int32 | tpep_pickup_datetime:timestamp[us] | tpep_dropoff_datetime:timestamp[us] | passenger_count:int64 | trip_distance:double | RatecodeID:int64 | store_and_fwd_flag:large_string | PULocationID:int32 | DOLocationID:int32 | payment_type:int64 | fare_amount:double | extra:double | mta_tax:double | tip_amount:double | tolls_amount:double | improvement_surcharge:double | total_amount:double | congestion_surcharge:double | Airport_fee:double | cbd_congestion_fee:double
2025-10,True,VendorID:int32 | tpep_pickup_datetime:timestamp[us] | tpep_dropoff_datetime:timestamp[us] | passenger_count:int64 | trip_distance:double | RatecodeID:int64 | store_and_fwd_flag:large_string | PULocationID:int32 | DOLocationID:int32 | payment_type:int64 | fare_amount:double | extra:double | mta_tax:double | tip_amount:double | tolls_amount:double | improvement_surcharge:double | total_amount:double | congestion_surcharge:double | Airport_fee:double | cbd_congestion_fee:double
2025-11,True,VendorID:int32 | tpep_pickup_datetime:timestamp[us] | tpep_dropoff_datetime:timestamp[us] | passenger_count:int64 | trip_distance:double | RatecodeID:int64 | store_and_fwd_flag:large_string | PULocationID:int32 | DOLocationID:int32 | payment_type:int64 | fare_amount:double | extra:double | mta_tax:double | tip_amount:double | tolls_amount:double | improvement_surcharge:double | total_amount:double | congestion_surcharge:double | Airport_fee:double | cbd_congestion_fee:double
2025-12,True,VendorID:int32 | tpep_pickup_datetime:timestamp[us] | tpep_dropoff_datetime:timestamp[us] | passenger_count:int64 | trip_distance:double | RatecodeID:int64 | store_and_fwd_flag:large_string | PULocationID:int32 | DOLocationID:int32 | payment_type:int64 | fare_amount:double | extra:double | mta_tax:double | tip_amount:double | tolls_amount:double | improvement_surcharge:double | total_amount:double | congestion_surcharge:double | Airport_fee:double | cbd_congestion_fee:double
