run_id,processing_month,raw_rows,silver_rows,rows_rejected,dq_311_001_created_invalid,dq_311_002_created_outside_2025,dq_311_003_closed_before_created,dq_311_005_missing_coordinates,dq_311_006_invalid_coordinate_range,flag_long_resolution_rows,status
dfb83268-e935-470f-87e6-ae59b85afe26,2025-01,348180,344984,3196,0,0,97,3105,0,370,SUCCESS
ff84ac86-2d89-4d5a-89ed-2da66c2d4678,2025-02,255364,251520,3844,0,0,129,3719,0,316,SUCCESS
4fce794a-0388-4609-832b-096c38a4b8ac,2025-03,281221,276687,4534,0,0,136,4405,0,549,SUCCESS
e23c1d94-88c9-47b1-8a6b-55bc85d11c3a,2025-04,272549,267730,4819,0,0,91,4732,0,601,SUCCESS
7022ff03-af0b-4ac5-8351-2bac13d266da,2025-05,295058,289802,5256,0,0,55,5208,0,1313,SUCCESS
dc09c91d-cd0d-45e7-8293-af9587d26a75,2025-06,306442,301037,5405,0,0,57,5379,0,648,SUCCESS
38d3ab1c-fec1-4239-a7e4-5d1d0c9842fe,2025-07,315883,310653,5230,0,0,64,5178,0,1038,SUCCESS
a1518fce-d930-4cdc-8738-38d6656c03bc,2025-08,304039,299643,4396,0,0,50,4352,0,141,SUCCESS
46d6c7dc-9534-4463-be03-0f5a56079a31,2025-09,302684,298453,4231,0,0,62,4170,0,0,SUCCESS
15f59bf0-4909-4439-8d6f-a18156639b6c,2025-10,336612,332754,3858,0,0,36,3825,0,0,SUCCESS
3f636bd1-fcf2-46d1-a010-a5f418cc00ac,2025-11,304905,301947,2958,0,0,98,2860,0,0,SUCCESS
74345bf6-97ca-461d-9a30-5e302f6e7ba9,2025-12,332103,328851,3252,0,0,39,3215,0,0,SUCCESS
