processing_month,taxi_input_rows,taxi_cross_partition_rows,taxi_gold_domain_rows,taxi_special_264_rows,taxi_special_265_rows,taxi_special_rows,taxi_other_invalid_rows,taxi_gold_domain_revenue,taxi_special_264_revenue,taxi_special_265_revenue,taxi_special_revenue,complaints_input_rows,complaints_spatially_mapped_rows,complaints_outside_polygon_rows,complaints_gold_count,weather_rows,weather_expected_rows,weather_gap_rows,gold_rows,expected_gold_rows,gold_taxi_trips,gold_taxi_revenue,gold_complaints_311,zero_taxi_zone_hours,zero_complaint_zone_hours,weather_null_gold_rows,run_id,verified_gold_rows,status
2025-01,3475110,30,3465589,8141,1380,9521,0,88653301.50000003,225274.06,123597.06,348871.12,344984,344934,50,344934,744,744,0,195672,195672,3465589,88653301.5,344934,99943,92828,0,b9423c95-3e0d-4758-ab20-64a21b803697,195672,SUCCESS
2025-02,3577449,30,3568814,7470,1165,8635,0,89239654.75000004,202901.91,102717.90999999996,305619.81999999995,251520,251489,31,251489,672,672,0,176736,176736,3568814,89239654.75,251489,75488,86220,0,995d850a-7f16-4e8b-a8ee-6f07ee63b38e,176736,SUCCESS
2025-03,4145148,5,4135913,7687,1548,9235,0,108506802.54999998,230317.88999999998,138939.94999999995,369257.83999999997,276687,276641,46,276641,744,744,0,195672,195672,4135913,108506802.55000001,276641,74400,93444,0,e78e5bdb-f289-4ecb-a592-abaea0c3f6a1,195672,SUCCESS
2025-04,3970405,22,3961414,7356,1635,8991,0,105199596.47999997,231878.22999999992,161620.58000000002,393498.80999999994,267730,267674,56,267674,720,720,0,189360,189360,3961414,105199596.48,267674,75549,89425,0,3ffff414-9f24-4289-91b4-e52764325b0b,189360,SUCCESS
2025-05,4591743,23,4582056,7596,2091,9687,0,122966401.04999988,252644.88999999993,208830.88000000003,461475.76999999996,289802,289747,55,289747,744,744,0,195672,195672,4582056,122966401.05,289747,67298,90396,0,548be21c-6bd0-428b-a983-1b0e484fc338,195672,SUCCESS
2025-06,4322718,9,4314123,6634,1961,8595,0,117986132.02999994,213841.75999999995,187694.66999999998,401536.42999999993,301037,300969,68,300969,720,720,0,189360,189360,4314123,117986132.03,300969,65007,85176,0,06b4d7eb-7879-4d74-95e9-6d6e09aa61fb,189360,SUCCESS
2025-07,3898969,15,3890603,6114,2252,8366,0,104195157.67,196566.26000000007,207709.55000000002,404275.81000000006,310653,310573,80,310573,744,744,0,195672,195672,3890603,104195157.66999999,310573,69618,89200,0,86fced58-eddf-43e2-9ca2-b5916411c40c,195672,SUCCESS
2025-08,3574078,6,3566471,5382,2225,7607,0,93940545.08999999,170863.33999999994,203918.68000000005,374782.02,299643,299569,74,299569,744,744,0,195672,195672,3566471,93940545.09,299569,72333,90036,0,10befe05-c622-432a-8eaa-7f81ef03f780,195672,SUCCESS
2025-09,4251019,11,4242804,6080,2135,8215,0,117398645.74000002,202487.50999999998,208480.7,410968.20999999996,298453,298377,76,298377,720,720,0,189360,189360,4242804,117398645.74000001,298377,71525,85464,0,35af1548-4615-4517-861e-c5a17a0b94ad,189360,SUCCESS
2025-10,4428706,22,4420164,6591,1951,8542,0,119041096.10000002,216355.14,200661.9600000001,417017.1000000001,332754,332689,65,332689,744,744,0,195672,195672,4420164,119041096.1,332689,76251,87738,0,d4bb5265-0e6b-47d2-90c2-8d81d7a9b223,195672,SUCCESS
2025-11,4179997,12,4171963,6137,1897,8034,0,106680715.98,192322.91,192595.06000000006,384917.9700000001,301947,301910,37,301910,720,720,0,189360,189360,4171963,106680715.98,301910,70444,87080,0,842e03b0-2b1f-4715-b0e7-b379ce9efdd1,189360,SUCCESS
2025-12,4304995,0,4297381,5684,1930,7614,0,132561613.33,171183.37,191159.87999999995,362343.24999999994,328851,328824,27,328824,744,744,0,195672,195672,4297381,132561613.33000001,328824,71119,90953,0,287540d8-db0d-4fbd-b4a6-137115e4346d,195672,SUCCESS
